1, 0, 0, 255, -9.375, 9.72, 1, 0.4
1, 0, 0, 255, -7.875, 8.78, 1, 0.4
1, 0, 0, 255, -6.75, 8.08, 1, 0.4
1, 0, 0, 255, -5.6, 7.36, 1, 0.4
1, 0, 0, 255, -4.575, 6.52, 1, 0.4
1, 0, 0, 255, -3.5, 5.64, 1, 0.4
1, 0, 0, 255, -2.375, 4.58, 1, 0.4
1, 0, 0, 255, -1.325, 3.84, 1, 0.4
1, 0, 0, 255, 1.425, 2.14, 1, 0.4
1, 0, 0, 255, 2.725, 1.68, 1, 0.4
1, 0, 0, 255, 3.75, 1.34, 1, 0.4
1, 0, 0, 255, 4.775, 1.08, 1, 0.4
1, 0, 0, 255, 5.9, 0.88, 1, 0.4
1, 0, 0, 255, 7.175, 0.72, 1, 0.4
1, 0, 0, 255, 8.2, 0.72, 1, 0.4
1, 0, 0, 255, 9.225, 0.72, 1, 0.4
