1, 0, 0, 255, -1.325, 6.66, 8, 0.4
1, 0, 0, 255, 1.075, 6.56, 8, 0.4
2, 0, 0, 255, -2.125, 5.3, 5, 0.4
2, 0, 0, 255, -0.975, 4.66, 4, 0.4
2, 0, 0, 255, 0.075, 4.62, 4, 0.4
2, 0, 0, 255, 1.25, 5.24, 5, 0.4
4, 0, 0, 255, -5.775, 7.92, 9, 0.28
4, 0, 0, 255, -3.65, 8.36, 9, 0.28
4, 0, 0, 255, -1.05, 8.56, 9, 0.28
4, 0, 0, 255, 1.575, 8.6, 9, 0.28
4, 0, 0, 255, 3.775, 8.1, 9, 0.28
4, 0, 0, 255, 5.1, 7.32, 9, 0.28
3, 0, 0, 255, -9, 2.72, 1, 0.6
3, 0, 0, 255, -6.975, 3.48, 1, 0.6
3, 0, 0, 255, -8.725, 1.36, 1, 0.28
3, 0, 0, 255, -6.55, 1.9, 1, 0.2
3, 0, 0, 255, -5.45, 1.18, 1, 0.28
3, 0, 0, 255, -4.8, 2.46, 1, 0.36
3, 0, 0, 255, -8.575, 4.2, 6, 0.4
5, 0, 0, 255, 8.25, 9.26, 10, 0.6
5, 0, 0, 255, -8.925, 9.54, 10, 0.6
6, 0, 0, 255, 7.575, 2.22, 5, 0.4
6, 0, 0, 255, 6.775, 3.56, 5, 0.4
5, 0, 0, 255, -0.325, 5.82, 6, 0.28
4, 0, 0, 255, 6.475, 6.42, 9, 0.36
4, 0, 0, 255, -7.25, 6.96, 9, 0.36
